id,area,x,y,w,h
0,46341,0,581,312,217
1,27229,878,414,185,164
2,24050,439,0,492,55
3,23758,681,206,337,158
4,22529,329,210,330,158
5,20854,492,404,170,173
6,20827,493,324,168,254
7,19224,220,319,112,218
8,19015,340,394,153,180
9,15609,858,247,208,134
10,15439,877,414,186,93
11,14592,937,25,97,164
12,14164,493,405,161,126
13,13751,340,394,152,109
14,12775,318,230,95,152
15,12626,671,264,190,117
16,12525,317,30,174,165
17,12483,517,63,110,132
18,12224,318,30,95,164
19,12120,873,485,186,94
20,11818,313,752,372,35
21,11772,210,22,76,167
22,11633,41,38,82,151
23,11550,693,753,366,33
24,11043,1060,506,139,102
25,10849,618,67,95,127
26,10755,498,284,148,98
27,10544,886,442,177,64
28,10519,332,647,118,104
29,10475,1094,623,97,176
30,10276,166,392,142,160
31,9988,166,393,80,158
32,9408,891,516,167,63
33,9244,100,8,73,181
34,9210,831,651,208,66
35,9023,1079,89,120,84
36,9020,238,354,89,127
37,8783,710,67,73,126
38,8777,344,96,172,98
39,8694,670,323,192,58
40,8628,413,96,103,98
41,8251,745,454,134,130
42,7872,846,68,73,124
43,7648,905,269,161,86
44,7558,538,647,100,97
45,7467,618,67,96,85
46,7443,147,0,66,188
47,7137,51,70,71,104
48,6926,1112,87,87,83
49,6918,504,317,125,65
50,6772,1021,0,47,188
51,6663,82,414,83,99
52,6652,416,284,112,97
53,6628,0,314,77,193
54,6372,318,287,95,72
55,6356,318,255,95,104
56,6351,0,315,65,143
57,6309,516,129,111,66
58,6282,284,74,59,120
59,6278,784,104,71,88
